WaveformIndex,Peak,Valley,PeakToPeak,Baseline,PeakHeight
90,0.313568,-0.0361809,0.34974890000000003,-0.01809045,0.33165845
91,0.301508,-0.0361809,0.3376889,-0.0241206,0.3256286
92,0.337688,-0.0361809,0.3738689,-0.01809045,0.35577844999999997
93,0.180905,-0.0241206,0.2050256,-0.0120603,0.1929653
94,0.663317,-0.0361809,0.6994979,-0.0241206,0.6874376000000001
95,0.446231,-0.0361809,0.4824119,-0.01809045,0.46432144999999997
96,0.289447,-0.0361809,0.3256279,-0.01809045,0.30753745
97,0.180905,-0.0361809,0.2170859,-0.01809045,0.19899545000000002
98,0.132663,-0.0361809,0.1688439,-0.01809045,0.15075345
99,0.494472,-0.0361809,0.5306529,-0.01809045,0.51256245
